cod_assunto;dsc_assunto;cod_assunto_pai;situacao
14087;Natureza Jurídica;14083;A
14088;Honorários Advocatícios;14083;A
14100;(Fato até 10/01/2023) Injúria Preconceituosa em Razão de Raça;12543;A
14101;(Fato até 10/01/2023) Injúria Preconceituosa em Razão de Cor;12543;A
14102;(Fato até 10/01/2023) Injúria Preconceituosa em Razão de Etnia;12543;A
14103;(Fato até 10/01/2023) Injúria Preconceituosa em Razão de Origem;12543;A
14104;Condição de Pessoa Idosa;12543;A
14105;Condição de Pessoa Portadora de Deficiência;12543;A
14106;(Fato até 10/01/2023) Injúria Preconceituosa em Razão de Orientação Sexual;12543;A
14107;(Fato até 10/01/2023) Injúria Preconceituosa em Razão de Identidade de Gênero;12543;A
14108;(Fato até 10/01/2023) Análogo à Injúria Preconceituosa em Razão de Raça;12547;A
14109;(Fato até 10/0/2023) Análogo à Injúria Preconceituosa em Razão de Origem;12547;A
14110;(Fato até 10/01/2023) Análogo à Injúria Preconceituosa em Razão de Etnia;12547;A
14111;(Fato até 10/01/2023) Análogo à Injúria Preconceituosa em Razão de Cor;12547;A
14112;Condição de Pessoa  Idosa;12547;A
14113;Condição de Pessoa Portadora de Deficiência;12547;A
14114;(Fato até 10/01/2023) Análogo à Injúria Preconceituosa em Razão de Orientação Sexual;12547;A
14115;(Fato até 10/01/2023) Análogo à Injúria Preconceituosa em Razão de Identidade de Gênero;12547;A
14116;Contribuição Confederativa;13276;A
14117;Atleta Profissional;13641;A
14118;Equipamento de Proteção Individual - EPI;13875;A
14120;Subempreitada;14034;A
14121;Moratórios Comuns;8826;A
14122;Tutela Provisória de Urgência;12958;A
14124;Quebra de Sigilo Telemático;10604;A
14126;Alimentos Gravídicos;5626;A
14127;Crédito Rural;10402;A
14128;FGTS;10394;A
14129;Compensação Financeira pela Exploração de Recursos Minerais (CFEM);10106;A
14130;Sistema Prisional;9986;A
14131;Dispensa;10385;A
14132;Inexigibilidade;10385;A
14133;Concorrência;10386;A
14134;Tomada de Preço;10386;A
14135;Convite;10386;A
14136;Concurso;10386;A
14137;Leilão;10386;A
14138;Pregão;10386;A
14139;Presencial;14138;A
14140;Eletrônico;14138;A
14141;Descontos Indevidos;10337;A
14142;Adicional de Inatividade;10338;A
14143;Gratificação de Compensação Orgânica;10338;A
14144;Ajuda de Custo;10340;A
14145;Soldo Legal e Ajustado;10341;A
14146;Restituição ao Erário;10337;A
