codigo_classe;nome_da_classe;situacao
2;PROCESSO CÍVEL E DO TRABALHO;A
5;SUPERIOR TRIBUNAL DE JUSTIÇA;A
7;Procedimento Comum Cível;A
26;Procedimentos Especiais;A
27;Procedimentos Especiais de Jurisdição Contenciosa;A
30;Arrolamento Comum;A
31;Arrolamento Sumário;A
32;Consignação em Pagamento;A
34;Demarcação / Divisão;A
37;Embargos de Terceiro Cível;A
38;Habilitação;A
39;Inventário;A
40;Monitória;A
45;Ação de Exigir Contas;A
46;Restauração de Autos Cível;A
47;Ação Rescisória;A
48;Sobrepartilha;A
49;Usucapião;A
50;Procedimentos Especiais de Jurisdição Voluntária;A
51;Abertura, Registro e Cumprimento de Testamento;A
52;Alienação Judicial de Bens;A
53;Arrecadação das Coisas Vagas;A
54;Confirmação de Testamento;A
55;Declaração de Ausência;A
57;Herança Jacente;A
58;Interdição/Curatela;A
59;Organização e Fiscalização de Fundação;A
60;Separação Consensual;A
62;Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos;A
63;Ação Civil Coletiva;A
64;Ação Civil de Improbidade Administrativa;A
65;Ação Civil Pública;A
66;Ação Popular;A
69;Alimentos - Lei Especial Nº 5.478/68;A
74;Alvará Judicial - Lei 6858/80;A
81;Busca e Apreensão em Alienação Fiduciária;A
82;Cancelamento de Naturalização;A
83;Cautelar Fiscal;A
84;Cobrança de Cédula de Crédito Industrial;A
85;Compromisso Arbitral;A
86;Consignatória de Aluguéis;A
87;Conversão de Separação Judicial em Divórcio;A
88;Correição Parcial ou Reclamação Correicional;A
89;Depósito da Lei 8. 866/94;A
90;Desapropriação;A
91;Desapropriação Imóvel Rural por Interesse Social;A
92;Despejo;A
93;Despejo por Falta de Pagamento;A
94;Despejo por Falta de Pagamento Cumulado Com Cobrança;A
95;Ação Direta de Inconstitucionalidade;A
96;Discriminatória;A
100;Dúvida;A
107;Expropriação da Lei 8.257/91;A
108;Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte;A
110;Habeas Data Cível;A
111;Habilitação de Crédito;A
113;Imissão na Posse;A
114;Impugnação de Crédito;A
115;Inquérito Extrajudicial;A
118;Mandado de Injunção;A
119;Mandado de Segurança Coletivo;A
120;Mandado de Segurança Cível;A
121;Naturalização;A
122;Opção de Nacionalidade;A
123;Averiguação de Paternidade;A
124;Pedido de Resposta ou Retificação da Lei de Imprensa;A
128;Recuperação Extrajudicial;A
129;Recuperação Judicial;A
134;Registro Torrens;A
135;Relatório Falimentar;A
136;Remição do Imóvel Hipotecado;A
137;Renovatória de Locação;A
138;Restituição de Coisa ou Dinheiro na Falência do Devedor Empresário;A
140;Revisional de Aluguel;A
142;Sonegados;A
143;Suprimento de Idade e/ou Consentimento;A
150;Procedimento de Liquidação;A
151;Liquidação por Arbitramento;A
152;Liquidação de Sentença pelo Procedimento Comum;A
153;Liquidação Provisória por Arbitramento;A
154;Liquidação Provisória de Sentença pelo Procedimento Comum;A
155;Procedimento de Cumprimento de Sentença/Decisão;A
156;Cumprimento de sentença;A
157;Cumprimento Provisório de Sentença;A
158;Processo de Execução;A
159;Execução de Título Extrajudicial;A
165;Insolvência Civil;A
166;Insolvência Requerida pelo Credor;A
167;Insolvência Requerida pelo Devedor ou pelo Espólio;A
169;Embargos;A
172;Embargos à Execução;A
175;Processo Cautelar;A
193;Produção Antecipada da Prova;A
197;Recursos;A
198;Apelação Cível;A
199;Remessa Necessária Cível;A
200;Agravos;A
202;Agravo de Instrumento;A
204;Agravo de Instrumento em Recurso Extraordinário;A
206;Agravo Regimental Cível;A
207;Embargos;A
210;Embargos Infringentes na Execução Fiscal;A
211;Recurso Ordinário Cível;A
212;Recurso Extraordinário;A
213;Recurso Especial;A
214;Outros Procedimentos;A
215;Incidentes;A
216;Incidente De Arguição de Inconstitucionalidade Cível;A
221;Conflito de competência cível;A
228;Exibição de Documento ou Coisa Cível;A
234;Remoção de Inventariante;A
236;Oposição;A
237;Atos e expedientes;A
238;Avocatória;A
239;Habilitação para Casamento;A
240;Instrução de Rescisória;A
241;Petição Cível;A
242;Comunicação;A
251;Registro de Casamento Nuncupativo;A
256;Representação por Excesso de Prazo;A
257;Cartas;A
258;Carta de Ordem Cível;A
261;Carta Precatória Cível;A
264;Carta Rogatória Cível;A
268;PROCESSO CRIMINAL;A
269;Medidas Preparatórias;A
271;Representação Criminal;A
272;Representação Criminal/Notícia de Crime;A
274;Interpelações;A
275;Notificação para Explicações;A
276;Notificação para Explicações (Lei de Imprensa);A
277;Procedimentos Investigatórios;A
278;Termo Circunstanciado;A
279;Inquérito Policial;A
280;Auto de Prisão em Flagrante;A
281;Procedimento Comum;A
282;Ação Penal de Competência do Júri;A
283;Ação Penal - Procedimento Ordinário;A
284;Processo Especial;A
285;Processo Especial do Código de Processo Penal;A
287;Crimes de Responsabilidade dos Funcionários Públicos;A
288;Crimes de Calúnia, Injúria e Difamação de Competência do Juiz Singular;A
289;Crimes Contra a Propriedade Imaterial;A
291;Restauração de Autos Criminal;A
292;Processo Especial de Leis Esparsas;A
293;Crimes Ambientais;A
294;Crimes Contra a Propriedade Industrial;A
295;Crimes Contra a Propriedade Intelectual;A
297;Crimes de Imprensa;A
300;Procedimento Especial da Lei Antitóxicos;A
302;Procedimento Especial dos Crimes de Abuso de Autoridade;A
303;Medidas Garantidoras;A
304;Liberdade;A
305;Liberdade Provisória com ou sem fiança;A
306;Relaxamento de Prisão;A
307;Habeas Corpus Criminal;A
308;Medidas Cautelares;A
309;Pedido de Busca e Apreensão Criminal;A
310;Pedido de Quebra de Sigilo de Dados e/ou Telefônico;A
311;Medidas Investigatórias Sobre Organizações Criminosas;A
312;Pedido de Prisão;A
