codigo_movimento;descricao_movimento;situacao
0;NADA;A
1;Magistrado;A
3;Decisão;A
7;Conversão;A
11;Declaração;A
14;Serventuário;A
15;Contador;A
16;Cálculo;A
18;Distribuidor;A
22;Baixa Definitiva;A
25;Suspensão ou Sobrestamento;A
26;Distribuição;A
36;Redistribuição;A
48;Escrivão/Diretor de Secretaria/Secretário Jurídico;A
51;Conclusão;A
60;Expedição de documento;A
67;Juntada;A
83;Cancelamento da distribuição;A
85;Petição;A
92;Publicação;A
104;Oficial de Justiça;A
105;Devolução;A
106;Mandado;A
108;Decretação de Prisão Criminal;A
112;Ofício;A
113;Decretação de Prisão Civil;A
115;Recebimento;A
117;Decretação de Internação;A
118;Protocolo de Petição;A
122;Desacolhimento de Prisão;A
123;Remessa;A
128;Prisão;A
132;Recebimento;A
133;Acolhimento de exceção;A
135;Apensamento;A
137;Desapensamento;A
138;Rejeição;A
151;Concessão de efeito suspensivo;A
157;Revogação;A
160;Recebimento;A
163;Não-Recebimento;A
172;Deliberação da partilha;A
175;Prisão em flagrante;A
190;Reforma de decisão anterior;A
193;Julgamento;A
196;Extinção da execução ou do cumprimento da sentença;A
200;Não-Acolhimento de Embargos de Declaração;A
202;Decretação de falência;A
206;Admissão;A
207;Não-Admissão;A
208;Não-Decretação de Falência;A
210;Concessão;A
212;Denegação;A
214;Concessão em Parte;A
218;Sem Resolução de Mérito;A
219;Procedência;A
220;Improcedência;A
221;Procedência em Parte;A
228;Arquivamento;A
230;Recurso prejudicado;A
235;Não Conhecimento de recurso;A
236;Negação de Seguimento;A
237;Provimento;A
238;Provimento em Parte;A
239;Não-Provimento;A
240;Conhecimento em Parte e Provimento ou Concessão;A
241;Conhecimento em Parte e Provimento em Parte ou Concessão em Parte;A
242;Conhecimento em Parte e Não-Provimento ou Denegação;A
245;Provisório;A
246;Definitivo;A
263;Réu revel citado por edital ;A
264;Suspensão Condicional do Processo;A
265;Recurso Extraordinário com repercussão geral;A
268;Morte ou perda da capacidade;A
272;A depender do julgamento de outra causa, de outro juízo ou declaração incidente;A
275;Força maior;A
276;Execução frustrada;A
277;Convenção das Partes para Satisfação Voluntária da Obrigação em Execução ou Cumprimento de Sentença;A
311;Leilão ou Praça;A
313;Sessão do Tribunal do Júri;A
332;Tutela Provisória;A
334;Gratuidade da Justiça;A
335;de pré-executividade;A
339;Liminar;A
347;Tutela Provisória;A
348;Liminar;A
349;Gratuidade de Justiça;A
352;Temporária;A
353;Preventiva;A
354;Alimentos;A
357;Temporária;A
358;Preventiva;A
371;Incompetência;A
373;Exceção de Impedimento ou Suspeição;A
374;Exceção de incompetência;A
378;Homologação;A
381;Recurso;A
383;Impugnação ao cumprimento de sentença;A
385;Com Resolução do Mérito;A
388;Aditamento da denúncia;A
389;Aditamento da queixa;A
391;Denúncia;A
393;Queixa;A
394;Com efeito suspensivo;A
399;Aditamento da denúncia;A
400;Aditamento da queixa;A
402;Denúncia;A
404;Queixa;A
429;Recurso extraordinário;A
430;Recurso especial;A
431;Recurso de revista;A
432;Recurso Extraordinário;A
433;Recurso Especial;A
434;Recurso de Revista;A
442;Segurança;A
443;Habeas corpus;A
444;Habeas data;A
